method,mean_bit_accuracy,mean_exact_recovery,mean_crc_pass,mean_attacked_token_len,mean_observed_bits_len
bimark_position_vote,0.7479166666666667,0.2,,162.43333333333334,160.43333333333334
bimark_hamming74,0.6645833333333333,0.13333333333333333,,162.63333333333333,160.63333333333333
syncmark_position_vote,0.6354166666666666,0.03333333333333333,0.03333333333333333,162.23333333333332,160.23333333333332
syncmark_alignment,0.6125,0.03333333333333333,0.06666666666666667,162.23333333333332,160.23333333333332
