attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
clean,50,6,anchor_heavy,syncmark_alignment,19,0.555921052631579,0.444078947368421,0.0,0.0
clean,50,6,anchor_heavy,syncmark_position_vote,19,0.8947368421052632,0.10526315789473684,0.15789473684210525,0.10526315789473684
clean,50,6,current,syncmark_alignment,19,0.6513157894736842,0.3486842105263158,0.0,0.0
clean,50,6,current,syncmark_position_vote,19,0.8947368421052632,0.10526315789473684,0.15789473684210525,0.10526315789473684
clean,50,6,default,syncmark_alignment,19,0.5789473684210527,0.42105263157894735,0.0,0.10526315789473684
clean,50,6,default,syncmark_position_vote,19,0.8947368421052632,0.10526315789473684,0.15789473684210525,0.10526315789473684
clean,50,6,loose_gap,syncmark_alignment,19,0.5953947368421053,0.4046052631578947,0.0,0.0
clean,50,6,loose_gap,syncmark_position_vote,19,0.8947368421052632,0.10526315789473684,0.15789473684210525,0.10526315789473684
clean,100,6,anchor_heavy,syncmark_alignment,19,0.7302631578947368,0.26973684210526316,0.0,0.05263157894736842
clean,100,6,anchor_heavy,syncmark_position_vote,19,0.9276315789473685,0.07236842105263153,0.47368421052631576,0.3684210526315789
clean,100,6,current,syncmark_alignment,19,0.8486842105263158,0.15131578947368418,0.10526315789473684,0.15789473684210525
clean,100,6,current,syncmark_position_vote,19,0.9276315789473685,0.07236842105263153,0.47368421052631576,0.3684210526315789
clean,100,6,default,syncmark_alignment,19,0.7236842105263158,0.2763157894736842,0.0,0.05263157894736842
clean,100,6,default,syncmark_position_vote,19,0.9276315789473685,0.07236842105263153,0.47368421052631576,0.3684210526315789
clean,100,6,loose_gap,syncmark_alignment,19,0.8026315789473685,0.19736842105263153,0.0,0.10526315789473684
clean,100,6,loose_gap,syncmark_position_vote,19,0.9276315789473685,0.07236842105263153,0.47368421052631576,0.3684210526315789
clean,150,6,anchor_heavy,syncmark_alignment,19,0.7960526315789473,0.20394736842105265,0.10526315789473684,0.10526315789473684
clean,150,6,anchor_heavy,syncmark_position_vote,19,0.9572368421052632,0.042763157894736836,0.5789473684210527,0.47368421052631576
clean,150,6,current,syncmark_alignment,19,0.9144736842105263,0.08552631578947367,0.47368421052631576,0.42105263157894735
clean,150,6,current,syncmark_position_vote,19,0.9572368421052632,0.042763157894736836,0.5789473684210527,0.47368421052631576
clean,150,6,default,syncmark_alignment,19,0.75,0.25,0.0,0.05263157894736842
clean,150,6,default,syncmark_position_vote,19,0.9572368421052632,0.042763157894736836,0.5789473684210527,0.47368421052631576
clean,150,6,loose_gap,syncmark_alignment,19,0.819078947368421,0.18092105263157898,0.10526315789473684,0.10526315789473684
clean,150,6,loose_gap,syncmark_position_vote,19,0.9572368421052632,0.042763157894736836,0.5789473684210527,0.47368421052631576
delete10,50,6,anchor_heavy,syncmark_alignment,19,0.5657894736842105,0.4342105263157895,0.0,0.05263157894736842
delete10,50,6,anchor_heavy,syncmark_position_vote,19,0.6085526315789473,0.39144736842105265,0.0,0.10526315789473684
delete10,50,6,current,syncmark_alignment,19,0.5723684210526315,0.4276315789473685,0.0,0.0
delete10,50,6,current,syncmark_position_vote,19,0.6085526315789473,0.39144736842105265,0.0,0.10526315789473684
delete10,50,6,default,syncmark_alignment,19,0.5427631578947368,0.45723684210526316,0.0,0.0
delete10,50,6,default,syncmark_position_vote,19,0.6085526315789473,0.39144736842105265,0.0,0.10526315789473684
delete10,50,6,loose_gap,syncmark_alignment,19,0.5394736842105263,0.4605263157894737,0.0,0.0
