attack,length,anchor_len,weight_preset,n,position_hit_rate,alignment_hit_rate,hit_delta_alignment_minus_position,position_exact_rate,alignment_exact_rate,exact_delta_alignment_minus_position,alignment_crc_pass_rate
clean,50,6,anchor_heavy,19,0.8947368421052632,0.555921052631579,-0.3388157894736842,0.15789473684210525,0.0,-0.15789473684210525,0.0
clean,50,6,current,19,0.8947368421052632,0.6513157894736842,-0.24342105263157898,0.15789473684210525,0.0,-0.15789473684210525,0.0
clean,50,6,default,19,0.8947368421052632,0.5789473684210527,-0.3157894736842105,0.15789473684210525,0.0,-0.15789473684210525,0.10526315789473684
clean,50,6,loose_gap,19,0.8947368421052632,0.5953947368421053,-0.29934210526315785,0.15789473684210525,0.0,-0.15789473684210525,0.0
clean,100,6,anchor_heavy,19,0.9276315789473685,0.7302631578947368,-0.19736842105263164,0.47368421052631576,0.0,-0.47368421052631576,0.05263157894736842
clean,100,6,current,19,0.9276315789473685,0.8486842105263158,-0.07894736842105265,0.47368421052631576,0.10526315789473684,-0.3684210526315789,0.15789473684210525
clean,100,6,default,19,0.9276315789473685,0.7236842105263158,-0.20394736842105265,0.47368421052631576,0.0,-0.47368421052631576,0.05263157894736842
clean,100,6,loose_gap,19,0.9276315789473685,0.8026315789473685,-0.125,0.47368421052631576,0.0,-0.47368421052631576,0.10526315789473684
clean,150,6,anchor_heavy,19,0.9572368421052632,0.7960526315789473,-0.16118421052631582,0.5789473684210527,0.10526315789473684,-0.4736842105263158,0.10526315789473684
clean,150,6,current,19,0.9572368421052632,0.9144736842105263,-0.042763157894736836,0.5789473684210527,0.47368421052631576,-0.10526315789473689,0.42105263157894735
clean,150,6,default,19,0.9572368421052632,0.75,-0.20723684210526316,0.5789473684210527,0.0,-0.5789473684210527,0.05263157894736842
clean,150,6,loose_gap,19,0.9572368421052632,0.819078947368421,-0.13815789473684215,0.5789473684210527,0.10526315789473684,-0.4736842105263158,0.10526315789473684
delete10,50,6,anchor_heavy,19,0.6085526315789473,0.5657894736842105,-0.042763157894736836,0.0,0.0,0.0,0.05263157894736842
delete10,50,6,current,19,0.6085526315789473,0.5723684210526315,-0.03618421052631582,0.0,0.0,0.0,0.0
delete10,50,6,default,19,0.6085526315789473,0.5427631578947368,-0.06578947368421051,0.0,0.0,0.0,0.0
delete10,50,6,loose_gap,19,0.6085526315789473,0.5394736842105263,-0.06907894736842102,0.0,0.0,0.0,0.0
delete10,100,6,anchor_heavy,19,0.5230263157894737,0.5197368421052632,-0.003289473684210509,0.0,0.0,0.0,0.10526315789473684
delete10,100,6,current,19,0.5230263157894737,0.5723684210526315,0.049342105263157854,0.0,0.0,0.0,0.0
delete10,100,6,default,19,0.5230263157894737,0.5394736842105263,0.016447368421052655,0.0,0.0,0.0,0.10526315789473684
delete10,100,6,loose_gap,19,0.5230263157894737,0.5328947368421053,0.009868421052631637,0.0,0.0,0.0,0.05263157894736842
delete10,150,6,anchor_heavy,1,0.625,0.625,0.0,0.0,0.0,0.0,1.0
delete10,150,6,current,1,0.625,0.6875,0.0625,0.0,0.0,0.0,0.0
delete10,150,6,default,1,0.625,0.625,0.0,0.0,0.0,0.0,1.0
delete10,150,6,loose_gap,1,0.625,0.75,0.125,0.0,0.0,0.0,0.0
delete15,50,6,anchor_heavy,19,0.4901315789473684,0.5493421052631579,0.059210526315789436,0.0,0.0,0.0,0.0
delete15,50,6,current,19,0.4901315789473684,0.5855263157894737,0.09539473684210525,0.0,0.0,0.0,0.0
delete15,50,6,default,19,0.4901315789473684,0.5789473684210527,0.08881578947368424,0.0,0.0,0.0,0.0
delete15,50,6,loose_gap,19,0.4901315789473684,0.6052631578947368,0.11513157894736842,0.0,0.0,0.0,0.0
delete15,100,6,anchor_heavy,19,0.46710526315789475,0.5296052631578947,0.062499999999999944,0.0,0.0,0.0,0.10526315789473684
delete15,100,6,current,19,0.46710526315789475,0.5756578947368421,0.1085526315789474,0.0,0.0,0.0,0.10526315789473684
delete15,100,6,default,19,0.46710526315789475,0.5427631578947368,0.07565789473684209,0.0,0.0,0.0,0.05263157894736842
delete15,100,6,loose_gap,19,0.46710526315789475,0.5592105263157895,0.09210526315789475,0.0,0.0,0.0,0.05263157894736842
delete5,50,6,anchor_heavy,19,0.6611842105263158,0.6677631578947368,0.006578947368421018,0.0,0.0,0.0,0.0
delete5,50,6,current,19,0.6611842105263158,0.6842105263157895,0.023026315789473673,0.0,0.0,0.0,0.0
delete5,50,6,default,19,0.6611842105263158,0.6644736842105263,0.003289473684210509,0.0,0.0,0.0,0.0
delete5,50,6,loose_gap,19,0.6611842105263158,0.6480263157894737,-0.013157894736842146,0.0,0.0,0.0,0.0
