trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
17,syncmark_alignment,16,160,6,0.375,0.0,False,84.59999999999988,162,158,156,1111111111110111
18,bimark_position_vote,16,160,6,0.6875,0.0,,,162,161,159,1000101101110101
18,bimark_hamming74,16,160,6,0.375,0.0,,,162,176,174,1101111111110010
18,syncmark_position_vote,16,160,6,0.25,0.0,False,,162,161,159,0111011001111111
18,syncmark_alignment,16,160,6,0.5625,0.0,False,79.64999999999998,162,161,159,0011100100101111
19,bimark_position_vote,16,160,6,0.4375,0.0,,,162,159,157,1111110110111100
19,bimark_hamming74,16,160,6,0.8125,0.0,,,162,157,155,1111001110011111
19,syncmark_position_vote,16,160,6,0.5625,0.0,False,,162,158,156,1111111101111110
19,syncmark_alignment,16,160,6,0.625,0.0,False,77.59999999999997,162,158,156,1001111111110111
20,bimark_position_vote,16,160,6,0.5625,0.0,,,162,168,166,1011101111111111
20,bimark_hamming74,16,160,6,0.5,0.0,,,162,163,161,1111101111111100
20,syncmark_position_vote,16,160,6,0.5,0.0,False,,162,163,161,1111101111111111
20,syncmark_alignment,16,160,6,0.625,0.0,False,77.49999999999993,162,163,161,1011111011111101
21,bimark_position_vote,16,160,6,0.6875,0.0,,,162,161,159,1011101111111111
21,bimark_hamming74,16,160,6,0.875,0.0,,,162,158,156,1001111111110010
21,syncmark_position_vote,16,160,6,0.625,0.0,False,,162,162,160,1111111111111011
21,syncmark_alignment,16,160,6,0.6875,0.0,False,75.15000000000006,162,162,160,1111111111110011
22,bimark_position_vote,16,160,6,0.6875,0.0,,,162,171,169,0011010101111111
22,bimark_hamming74,16,160,6,0.6875,0.0,,,162,158,156,0001111111110110
22,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,159,157,1111111010011111
22,syncmark_alignment,16,160,6,0.375,0.0,False,86.15,162,159,157,1111111100111111
23,bimark_position_vote,16,160,6,0.5,0.0,,,162,158,156,1111010011111111
23,bimark_hamming74,16,160,6,0.5625,0.0,,,162,162,160,1111111111110110
23,syncmark_position_vote,16,160,6,0.5625,0.0,False,,162,163,161,1101111011111111
23,syncmark_alignment,16,160,6,0.4375,0.0,False,92.49999999999986,162,163,161,1101110111111111
24,bimark_position_vote,16,160,6,0.375,0.0,,,162,160,158,1111011011111111
24,bimark_hamming74,16,160,6,0.5,0.0,,,162,161,159,1111111111111010
24,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,169,167,1111100111111101
24,syncmark_alignment,16,160,6,0.4375,0.0,False,77.99999999999991,162,169,167,1110111111111010
25,bimark_position_vote,16,160,6,0.375,0.0,,,162,162,160,1111101111111101
25,bimark_hamming74,16,160,6,0.5,0.0,,,162,158,156,1111111110111101
