trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
18,bimark_position_vote,16,300,16,0.9375,0.0,,,302,302,300,1010101111000101
18,bimark_hamming74,16,300,16,0.5625,0.0,,,302,303,301,1111111111010011
18,syncmark_position_vote,16,300,16,0.625,0.0,False,,302,300,298,1011101111111111
18,syncmark_alignment,16,300,16,0.6875,0.0,False,218.9499999999994,302,300,298,1110111110011111
19,bimark_position_vote,16,300,16,0.875,0.0,,,302,299,297,1101001110011111
19,bimark_hamming74,16,300,16,0.6875,0.0,,,302,298,296,1001111111111111
19,syncmark_position_vote,16,300,16,0.5,0.0,False,,302,299,297,0111011111111110
19,syncmark_alignment,16,300,16,0.5625,0.0,False,203.64999999999938,302,299,297,1111011111111011
20,bimark_position_vote,16,300,16,0.6875,0.0,,,302,306,304,0111111011101101
20,bimark_hamming74,16,300,16,0.4375,0.0,,,302,307,305,1111111111001111
20,syncmark_position_vote,16,300,16,0.5625,0.0,False,,302,301,299,1011110111111111
20,syncmark_alignment,16,300,16,0.625,0.0,False,228.49999999999937,302,301,299,1011110011111111
21,bimark_position_vote,16,300,16,0.5625,0.0,,,302,300,298,1111111111111111
21,bimark_hamming74,16,300,16,0.625,0.0,,,302,300,298,1111111111111011
21,syncmark_position_vote,16,300,16,0.625,0.0,False,,302,312,310,1011111111111111
21,syncmark_alignment,16,300,16,0.6875,0.0,False,198.9499999999995,302,312,310,1101111111111011
22,bimark_position_vote,16,300,16,0.6875,0.0,,,302,302,300,0111011111111110
22,bimark_hamming74,16,300,16,0.625,0.0,,,302,295,293,0111011111111111
22,syncmark_position_vote,16,300,16,0.8125,0.0,False,,302,302,300,0011110111110110
22,syncmark_alignment,16,300,16,0.75,0.0,False,241.99999999999937,302,302,300,0011110111111110
23,bimark_position_vote,16,300,16,0.8125,0.0,,,302,303,301,0111001011110110
23,bimark_hamming74,16,300,16,0.625,0.0,,,302,304,302,0001110011001111
23,syncmark_position_vote,16,300,16,0.8125,0.0,False,,302,300,298,1101001111100110
23,syncmark_alignment,16,300,16,0.75,0.0,True,264.64999999999924,302,300,298,0111001111110110
24,bimark_position_vote,16,300,16,0.375,0.0,,,302,301,299,1111101110111111
24,bimark_hamming74,16,300,16,0.4375,0.0,,,302,306,304,0011011111111111
24,syncmark_position_vote,16,300,16,0.8125,0.0,False,,302,301,299,0011101101110001
24,syncmark_alignment,16,300,16,0.8125,0.0,False,221.7999999999994,302,301,299,1001101000110001
25,bimark_position_vote,16,300,16,1.0,1.0,,,302,304,302,1101010010000001
25,bimark_hamming74,16,300,16,0.5,0.0,,,302,306,304,1001000100011111
25,syncmark_position_vote,16,300,16,0.375,0.0,False,,302,300,298,1111111111101110
25,syncmark_alignment,16,300,16,0.5,0.0,False,232.29999999999936,302,300,298,1101011111111111
26,bimark_position_vote,16,300,16,0.5625,0.0,,,302,302,300,1110111101011111
26,bimark_hamming74,16,300,16,0.75,0.0,,,302,301,299,1011011111110101
26,syncmark_position_vote,16,300,16,0.5625,0.0,False,,302,299,297,1111111011111111
26,syncmark_alignment,16,300,16,0.75,0.0,False,200.09999999999945,302,299,297,1111111100111111
27,bimark_position_vote,16,300,16,0.8125,0.0,,,302,298,296,1010100010011101
27,bimark_hamming74,16,300,16,0.625,0.0,,,302,296,294,1000111111111111
27,syncmark_position_vote,16,300,16,0.25,0.0,False,,302,298,296,0111001111111111
27,syncmark_alignment,16,300,16,0.3125,0.0,False,219.0999999999994,302,298,296,1111011101111111
28,bimark_position_vote,16,300,16,0.625,0.0,,,302,301,299,1111011111111111
28,bimark_hamming74,16,300,16,0.5625,0.0,,,302,306,304,1011111110001111
28,syncmark_position_vote,16,300,16,0.5625,0.0,False,,302,297,295,1111111111111111
28,syncmark_alignment,16,300,16,0.6875,0.0,False,241.2999999999994,302,297,295,1111101111111011
29,bimark_position_vote,16,300,16,0.9375,0.0,,,302,303,301,0101011100111110
29,bimark_hamming74,16,300,16,1.0,1.0,,,302,307,305,0101011100111010
29,syncmark_position_vote,16,300,16,0.8125,0.0,False,,302,300,298,0101011110111111
29,syncmark_alignment,16,300,16,0.75,0.0,False,241.2999999999994,302,300,298,1101111111111010
