method,mean_bit_accuracy,mean_exact_recovery,mean_crc_pass,mean_attacked_token_len,mean_observed_bits_len
bimark_position_vote,0.7333333333333333,0.13333333333333333,,301.6666666666667,299.6666666666667
bimark_hamming74,0.6354166666666666,0.06666666666666667,,302.03333333333336,300.03333333333336
syncmark_position_vote,0.7,0.0,0.03333333333333333,302.4,300.4
syncmark_alignment,0.625,0.0,0.03333333333333333,302.4,300.4
