trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
0,bimark_position_vote,16,300,12,0.9375,0.0,,,302,298,296,0110110100111111
0,bimark_hamming74,16,300,12,0.5625,0.0,,,302,295,293,1111100011111111
0,syncmark_position_vote,16,300,12,0.375,0.0,False,,302,307,305,1101101111011101
0,syncmark_alignment,16,300,12,0.5,0.0,False,188.79999999999941,302,307,305,1111111011101111
1,bimark_position_vote,16,300,12,0.5625,0.0,,,302,305,303,0111111111011101
1,bimark_hamming74,16,300,12,0.5625,0.0,,,302,299,297,1111111111111011
1,syncmark_position_vote,16,300,12,0.4375,0.0,False,,302,308,306,1111111111110111
1,syncmark_alignment,16,300,12,0.375,0.0,False,193.79999999999941,302,308,306,1111111101110111
2,bimark_position_vote,16,300,12,0.5625,0.0,,,302,301,299,1111111111111111
2,bimark_hamming74,16,300,12,0.6875,0.0,,,302,298,296,1111110111110001
2,syncmark_position_vote,16,300,12,0.75,0.0,False,,302,301,299,0111111111101101
2,syncmark_alignment,16,300,12,0.5625,0.0,False,200.7999999999993,302,301,299,0001111111101100
3,bimark_position_vote,16,300,12,0.75,0.0,,,302,305,303,1111010011111111
3,bimark_hamming74,16,300,12,0.75,0.0,,,302,304,302,0110001110111111
3,syncmark_position_vote,16,300,12,0.875,0.0,True,,302,301,299,1110100110111101
3,syncmark_alignment,16,300,12,0.9375,0.0,False,219.9999999999994,302,301,299,1110000010011101
4,bimark_position_vote,16,300,12,0.4375,0.0,,,302,298,296,0011111111111111
4,bimark_hamming74,16,300,12,0.625,0.0,,,302,300,298,0111000100101111
4,syncmark_position_vote,16,300,12,0.625,0.0,False,,302,303,301,0010110110100111
4,syncmark_alignment,16,300,12,0.5625,0.0,False,184.54999999999941,302,303,301,1000100010101010
5,bimark_position_vote,16,300,12,0.9375,0.0,,,302,301,299,1001110011011110
5,bimark_hamming74,16,300,12,0.9375,0.0,,,302,304,302,1011110011011010
5,syncmark_position_vote,16,300,12,0.6875,0.0,False,,302,306,304,1000110010111111
5,syncmark_alignment,16,300,12,0.4375,0.0,False,205.99999999999926,302,306,304,0101101111110111
6,bimark_position_vote,16,300,12,1.0,1.0,,,302,304,302,0110101011110101
6,bimark_hamming74,16,300,12,0.75,0.0,,,302,305,303,1111101011111111
6,syncmark_position_vote,16,300,12,0.8125,0.0,False,,302,299,297,0111111011111101
6,syncmark_alignment,16,300,12,0.8125,0.0,False,216.49999999999926,302,299,297,0111011011110101
7,bimark_position_vote,16,300,12,0.875,0.0,,,302,302,300,1011010001101111
7,bimark_hamming74,16,300,12,0.75,0.0,,,302,299,297,1011011101101111
