trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
18,bimark_position_vote,16,300,6,0.9375,0.0,,,302,302,300,1010101111000101
18,bimark_hamming74,16,300,6,0.5625,0.0,,,302,303,301,1111111111010011
18,syncmark_position_vote,16,300,6,0.6875,0.0,False,,302,300,298,1010101100111111
18,syncmark_alignment,16,300,6,0.75,0.0,False,163.2999999999994,302,300,298,1110111110110101
19,bimark_position_vote,16,300,6,0.875,0.0,,,302,299,297,1101001110011111
19,bimark_hamming74,16,300,6,0.6875,0.0,,,302,298,296,1001111111111111
19,syncmark_position_vote,16,300,6,0.4375,0.0,False,,302,299,297,0110001111111100
19,syncmark_alignment,16,300,6,0.375,0.0,False,151.79999999999936,302,299,297,1110111011111110
20,bimark_position_vote,16,300,6,0.6875,0.0,,,302,306,304,0111111011101101
20,bimark_hamming74,16,300,6,0.4375,0.0,,,302,307,305,1111111111001111
20,syncmark_position_vote,16,300,6,0.5625,0.0,False,,302,301,299,1111011001101111
20,syncmark_alignment,16,300,6,0.625,0.0,False,151.74999999999923,302,301,299,1111110111101101
21,bimark_position_vote,16,300,6,0.5625,0.0,,,302,300,298,1111111111111111
21,bimark_hamming74,16,300,6,0.625,0.0,,,302,300,298,1111111111111011
21,syncmark_position_vote,16,300,6,0.625,0.0,False,,302,312,310,1111111111100110
21,syncmark_alignment,16,300,6,0.625,0.0,False,152.79999999999933,302,312,310,1111111110111111
22,bimark_position_vote,16,300,6,0.6875,0.0,,,302,302,300,0111011111111110
22,bimark_hamming74,16,300,6,0.625,0.0,,,302,295,293,0111011111111111
22,syncmark_position_vote,16,300,6,0.8125,0.0,False,,302,302,300,1111010111010110
22,syncmark_alignment,16,300,6,0.6875,0.0,False,176.74999999999915,302,302,300,1011111111110110
23,bimark_position_vote,16,300,6,0.8125,0.0,,,302,303,301,0111001011110110
23,bimark_hamming74,16,300,6,0.625,0.0,,,302,304,302,0001110011001111
23,syncmark_position_vote,16,300,6,0.9375,0.0,False,,302,300,298,0101001011010110
23,syncmark_alignment,16,300,6,0.5625,0.0,False,171.59999999999926,302,300,298,1111011011110011
24,bimark_position_vote,16,300,6,0.375,0.0,,,302,301,299,1111101110111111
24,bimark_hamming74,16,300,6,0.4375,0.0,,,302,306,304,0011011111111111
24,syncmark_position_vote,16,300,6,0.875,0.0,False,,302,301,299,0001111101110000
24,syncmark_alignment,16,300,6,0.875,0.0,False,178.09999999999926,302,301,299,0001111101110000
25,bimark_position_vote,16,300,6,1.0,1.0,,,302,304,302,1101010010000001
25,bimark_hamming74,16,300,6,0.5,0.0,,,302,306,304,1001000100011111
25,syncmark_position_vote,16,300,6,0.625,0.0,False,,302,300,298,1011110110100101
25,syncmark_alignment,16,300,6,0.6875,0.0,False,165.44999999999928,302,300,298,1111111110000011
26,bimark_position_vote,16,300,6,0.5625,0.0,,,302,302,300,1110111101011111
26,bimark_hamming74,16,300,6,0.75,0.0,,,302,301,299,1011011111110101
26,syncmark_position_vote,16,300,6,0.75,0.0,False,,302,299,297,1011111111110111
26,syncmark_alignment,16,300,6,0.75,0.0,False,150.09999999999934,302,299,297,1111111110110111
27,bimark_position_vote,16,300,6,0.8125,0.0,,,302,298,296,1010100010011101
27,bimark_hamming74,16,300,6,0.625,0.0,,,302,296,294,1000111111111111
27,syncmark_position_vote,16,300,6,0.5,0.0,False,,302,298,296,1101111101111101
27,syncmark_alignment,16,300,6,0.5,0.0,False,167.89999999999927,302,298,296,1111111011111111
28,bimark_position_vote,16,300,6,0.625,0.0,,,302,301,299,1111011111111111
28,bimark_hamming74,16,300,6,0.5625,0.0,,,302,306,304,1011111110001111
28,syncmark_position_vote,16,300,6,0.75,0.0,False,,302,297,295,1111101111101011
28,syncmark_alignment,16,300,6,0.875,0.0,False,163.04999999999924,302,297,295,1111101101101010
29,bimark_position_vote,16,300,6,0.9375,0.0,,,302,303,301,0101011100111110
29,bimark_hamming74,16,300,6,1.0,1.0,,,302,307,305,0101011100111010
29,syncmark_position_vote,16,300,6,1.0,1.0,True,,302,300,298,0101011100111010
29,syncmark_alignment,16,300,6,1.0,1.0,True,182.94999999999928,302,300,298,0101011100111010
